"bonus","chain","co_owned","date","empft","emppt","firstinc","hrsopen","inctime","meals","ncalls","nmgrs","nregs","nregs11","observation","open","pctaff","pentree","pfry","psoda","region","sheet","special","state","status","type","wage_st","emptot","pct_fte","time","treated"
"yes","bk","no",NA,30,15,NA,16.5,19,"reduced price meals",0,3,3,3,"February 1992",6.5,NA,0.52,1.03,1.03,"phillypa",46,NA,"Pennsylvania",NA,NA,NA,40.5,74.0740740740741,0,0
"no","kfc","no",NA,6.5,6.5,NA,13,26,"reduced price meals",0,4,4,3,"February 1992",10,NA,2.35,0.9,1.01,"phillypa",49,NA,"Pennsylvania",NA,NA,NA,13.75,47.2727272727273,0,0
"no","kfc","yes",NA,3,7,0.37,10,13,"reduced price meals",0,2,3,3,"February 1992",11,30,2.33,0.74,0.95,"phillypa",506,NA,"Pennsylvania",NA,NA,NA,8.5,35.2941176470588,0,0
"yes","wendys","yes",NA,20,20,0.1,12,26,"reduced price meals",0,4,2,2,"February 1992",10,0,1.79,0.82,0.87,"phillypa",56,NA,"Pennsylvania",NA,NA,5,34,58.8235294117647,0,0
"yes","wendys","yes",NA,6,26,0.15,12,52,"both free and reduced price meals",0,5,2,2,"February 1992",10,0,1.65,0.77,0.87,"phillypa",61,NA,"Pennsylvania",NA,NA,5.5,24,25,0,0
"no","wendys","yes",NA,0,31,0.07,12,26,"reduced price meals",2,5,2,2,"February 1992",10,45,0.95,0.77,0.87,"phillypa",62,NA,"Pennsylvania",NA,NA,5,20.5,0,0,0
"no","bk","no",NA,50,35,0.1,18,26,"reduced price meals",0,3,3,3,"February 1992",6,0,0.94,0.88,1.04,"eastonpa",445,NA,"Pennsylvania",NA,NA,5,70.5,70.9219858156028,0,0
"no","bk","no",NA,10,17,0.25,24,52,"reduced price meals",0,5,6,4,"February 1992",0,0,0.96,0.84,1.05,"eastonpa",451,NA,"Pennsylvania",NA,NA,5,23.5,42.5531914893617,0,0
"no","kfc","yes",NA,2,8,0.25,10,13,"free meals",0,5,2,2,"February 1992",11,0,2.32,0.73,0.73,"eastonpa",455,NA,"Pennsylvania",NA,NA,5.25,11,18.1818181818182,0,0
"no","kfc","yes",NA,2,10,0.15,10,19,"free meals",2,2,4,4,"February 1992",11,0,2.32,0.73,0.94,"phillypa",458,NA,"Pennsylvania",NA,NA,5,9,22.2222222222222,0,0
"yes","roys","yes",NA,2.5,20,0.37,12.5,13,"reduced price meals",0,3,4,4,"February 1992",9,5,1.11,1.01,1.05,"eastonpa",462,NA,"Pennsylvania",NA,NA,5,15.5,16.1290322580645,0,0
"no","bk","no",NA,40,30,0.17,18,13,"reduced price meals",0,3,4,3,"February 1992",6,0,0.95,0.94,0.95,"eastonpa",468,NA,"Pennsylvania",NA,NA,5,58,68.9655172413793,0,0
"no","bk","no",NA,8,27,0.25,18,39,"reduced price meals",0,5,3,2,"February 1992",6,80,0.96,0.72,0.92,"eastonpa",469,NA,"Pennsylvania",NA,NA,5,26.5,30.188679245283,0,0
"no","bk","no",NA,10.5,30,0.3,18,NA,"reduced price meals",0,3,3,3,"February 1992",6,0,0.94,0.84,0.97,"eastonpa",470,NA,"Pennsylvania",NA,NA,5.5,28.5,36.8421052631579,0,0
"no","bk","no",NA,6,9,0.37,12.5,26,"reduced price meals",2,3,3,1,"February 1992",9,0,1.01,0.98,1.13,"eastonpa",474,NA,"Pennsylvania",NA,NA,5,13.5,44.4444444444444,0,0
"yes","kfc","yes",NA,5,17.5,0.25,10,26,"both free and reduced price meals",2,3,5,4,"February 1992",11,0,2.53,0.74,0.95,"eastonpa",481,NA,"Pennsylvania",NA,NA,5.25,16.75,29.8507462686567,0,0
"yes","kfc","yes",NA,1,15,0.07,10,13,"reduced price meals",0,1,4,3,"February 1992",11,0,2.32,0.73,0.94,"eastonpa",483,NA,"Pennsylvania",NA,NA,5,9.5,10.5263157894737,0,0
"yes","roys","yes",NA,10,6,0.17,11.5,13,"reduced price meals",0,2,6,3,"February 1992",10,0,0.95,0.91,1.11,"eastonpa",487,NA,"Pennsylvania",NA,NA,5,15,66.6666666666667,0,0
"yes","roys","no",NA,20,13,0.25,16,13,"reduced price meals",1,3,5,5,"February 1992",6,0,1.01,0.79,1.05,"eastonpa",488,NA,"Pennsylvania",NA,NA,5,29.5,67.7966101694915,0,0
"yes","roys","no",NA,5,23,0.37,14,13,"reduced price meals",2,2,4,4,"February 1992",7,6,0.94,1.01,1.05,"eastonpa",489,NA,"Pennsylvania",NA,NA,5,18.5,27.027027027027,0,0
"no","roys","yes",NA,10,12.5,0.12,16,13,"reduced price meals",0,4,4,4,"February 1992",6,0,1.05,1.01,1.05,"eastonpa",490,NA,"Pennsylvania",NA,NA,5,20.25,49.3827160493827,0,0
